nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
list connection events by user admin on db-prod-02 with status 200 this month in event viewer,access,last30d,admin,windows,*,db-prod-02,*,200,action=access user=admin source=windows hostname=db-prod-02 status_code=200 earliest=-30d@d latest=now,2025-09-15T18:57:07
show me service restart events on web-server-01 today in server,restart,today,*,host,*,web-server-01,*,*,action=restart source=host hostname=web-server-01 earliest=@d latest=now,2025-10-04T05:10:07
display successful login events by user root with status 200 the previous day in database,success,yesterday,root,database,*,*,*,200,action=success user=root source=database status_code=200 earliest=@d-1d latest=@d,2025-10-03T11:04:07
give me upload events by user jsmith on firewall-01 this week in auth log,upload,last7d,jsmith,auth,*,firewall-01,*,*,action=upload user=jsmith source=auth hostname=firewall-01 earliest=-7d@d latest=now,2025-09-30T18:57:07
show me err sign off events on load-balancer this week in file system,logout,last7d,*,filesystem,*,load-balancer,error,*,action=logout source=filesystem hostname=load-balancer severity=error earliest=-7d@d latest=now,2025-10-01T18:57:07
list auth failure events with status 403 last 30 days in file system,failure,last30d,*,filesystem,*,*,*,403,action=failure source=filesystem status_code=403 earliest=-30d@d latest=now,2025-09-09T18:57:07
give me crash events by user anonymous since midnight in filesystem,error,today,anonymous,filesystem,*,*,*,*,action=error user=anonymous source=filesystem earliest=@d latest=now,2025-10-04T09:53:07
list service restart events by user root since yesterday in database,restart,last24h,root,database,*,*,*,*,action=restart user=root source=database earliest=-24h latest=now,2025-10-04T07:57:07
show me delete events last 7 days in secure shell,deletion,last7d,*,ssh,*,*,*,*,action=deletion source=ssh earliest=-7d@d latest=now,2025-09-29T18:57:07
give me file upload events by user root on db-prod-02 past 60 minutes in ssh,upload,last1h,root,ssh,*,db-prod-02,*,*,action=upload user=root source=ssh hostname=db-prod-02 earliest=-60m latest=now,2025-10-04T18:36:07
pull up successful login events by user admin on firewall-01 today in event viewer,success,today,admin,windows,*,firewall-01,*,*,action=success user=admin source=windows hostname=firewall-01 earliest=@d latest=now,2025-10-04T02:28:07
list informational request events by user alice this month in filesystem,access,last30d,alice,filesystem,*,*,info,*,action=access user=alice source=filesystem severity=info earliest=-30d@d latest=now,2025-09-22T18:57:07
find logins events by user root the previous day in secure shell,login,yesterday,root,ssh,*,*,*,*,action=login user=root source=ssh earliest=@d-1d latest=@d,2025-10-03T02:27:07
find logins events by user root with status 404 past 60 minutes in apache,login,last1h,root,web,*,*,*,404,action=login user=root source=web status_code=404 earliest=-60m latest=now,2025-10-04T18:06:07
list download events by user root last 30 days in firewall,download,last30d,root,firewall,*,*,*,*,action=download user=root source=firewall earliest=-30d@d latest=now,2025-09-20T18:57:07
display warning service restart events by user alice on app-server-03 last 24 hours in nginx,restart,last24h,alice,web,*,app-server-03,warning,*,action=restart user=alice source=web hostname=app-server-03 severity=warning earliest=-24h latest=now,2025-10-03T20:57:07
list auth success events by user root past 60 minutes in windows event log,success,last1h,root,windows,*,*,*,*,action=success user=root source=windows earliest=-60m latest=now,2025-10-04T18:00:07
find error login events by user bob with status 500 since yesterday in secure shell,login,last24h,bob,ssh,*,*,error,500,action=login user=bob source=ssh severity=error status_code=500 earliest=-24h latest=now,2025-10-04T16:57:07
list delete events by user anonymous from ip 172.16.0.50 with status 502 past 60 minutes in database,deletion,last1h,anonymous,database,172.16.0.50,*,*,502,action=deletion user=anonymous source=database src_ip=172.16.0.50 status_code=502 earliest=-60m latest=now,2025-10-04T18:39:07
display service restart events by user admin with status 503 this month in authentication log,restart,last30d,admin,auth,*,*,*,503,action=restart user=admin source=auth status_code=503 earliest=-30d@d latest=now,2025-09-07T18:57:07
show me upload events by user root last 24 hours in file system,upload,last24h,root,filesystem,*,*,*,*,action=upload user=root source=filesystem earliest=-24h latest=now,2025-10-04T11:57:07
pull up service restart events by user bob past 60 minutes in security log,restart,last1h,bob,auth,*,*,*,*,action=restart user=bob source=auth earliest=-60m latest=now,2025-10-04T18:34:07
list successful login events by user anonymous past 60 minutes in filesystem,success,last1h,anonymous,filesystem,*,*,*,*,action=success user=anonymous source=filesystem earliest=-60m latest=now,2025-10-04T18:56:07
display failed login events by user jsmith yesterday in db,failure,yesterday,jsmith,database,*,*,*,*,action=failure user=jsmith source=database earliest=@d-1d latest=@d,2025-10-03T13:22:07
list emergency delete events by user root with status 200 since yesterday in db,deletion,last24h,root,database,*,*,critical,200,action=deletion user=root source=database severity=critical status_code=200 earliest=-24h latest=now,2025-10-04T11:57:07
list info authentication events by user alice from ip 192.168.1.100 on app-server-03 with status 500 past 60 minutes in ssh,login,last1h,alice,ssh,192.168.1.100,app-server-03,info,500,action=login user=alice source=ssh src_ip=192.168.1.100 hostname=app-server-03 severity=info status_code=500 earliest=-60m latest=now,2025-10-04T18:03:07
show me authentication events by user alice with status 503 last 24 hours in apache,login,last24h,alice,web,*,*,*,503,action=login user=alice source=web status_code=503 earliest=-24h latest=now,2025-10-04T09:57:07
give me warn error events by user root from ip 172.16.0.50 on app-server-03 since yesterday in database,error,last24h,root,database,172.16.0.50,app-server-03,warning,*,action=error user=root source=database src_ip=172.16.0.50 hostname=app-server-03 severity=warning earliest=-24h latest=now,2025-10-04T09:57:07
give me error logins events by user bob with status 503 since yesterday in server,login,last24h,bob,host,*,*,error,503,action=login user=bob source=host severity=error status_code=503 earliest=-24h latest=now,2025-10-04T15:57:07
show me delete events by user jsmith on web-server-01 with status 404 past week in authentication log,deletion,last7d,jsmith,auth,*,web-server-01,*,404,action=deletion user=jsmith source=auth hostname=web-server-01 status_code=404 earliest=-7d@d latest=now,2025-10-03T18:57:07
display service restart events from ip 192.168.1.100 last 7 days in database,restart,last7d,*,database,192.168.1.100,*,*,*,action=restart source=database src_ip=192.168.1.100 earliest=-7d@d latest=now,2025-09-29T18:57:07
display restart events by user anonymous last 24 hours in database,restart,last24h,anonymous,database,*,*,*,*,action=restart user=anonymous source=database earliest=-24h latest=now,2025-10-03T20:57:07
display delete events by user jsmith last 7 days in auth log,deletion,last7d,jsmith,auth,*,*,*,*,action=deletion user=jsmith source=auth earliest=-7d@d latest=now,2025-10-03T18:57:07
list login events by user root from ip 172.16.0.50 since midnight in windows,login,today,root,windows,172.16.0.50,*,*,*,action=login user=root source=windows src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T07:55:07
show me auth failure events by user jsmith last 30 days in windows,failure,last30d,jsmith,windows,*,*,*,*,action=failure user=jsmith source=windows earliest=-30d@d latest=now,2025-09-30T18:57:07
show me connection events by user bob from ip 172.16.0.50 on db-prod-02 last 7 days in server,access,last7d,bob,host,172.16.0.50,db-prod-02,*,*,action=access user=bob source=host src_ip=172.16.0.50 hostname=db-prod-02 earliest=-7d@d latest=now,2025-09-30T18:57:07
find file upload events by user admin with status 403 last hour in file system,upload,last1h,admin,filesystem,*,*,*,403,action=upload user=admin source=filesystem status_code=403 earliest=-60m latest=now,2025-10-04T18:26:07
find crit request events by user alice from ip 192.168.0.1 in the last 24 hours in web server,access,today,alice,web,192.168.0.1,*,critical,*,action=access user=alice source=web src_ip=192.168.0.1 severity=critical earliest=@d latest=now,2025-10-04T07:21:07
pull up file download events by user alice from ip 192.168.0.1 with status 502 past 60 minutes in auth log,download,last1h,alice,auth,192.168.0.1,*,*,502,action=download user=alice source=auth src_ip=192.168.0.1 status_code=502 earliest=-60m latest=now,2025-10-04T18:12:07
find upload events by user bob on web-server-01 with status 403 this week in web server,upload,last7d,bob,web,*,web-server-01,*,403,action=upload user=bob source=web hostname=web-server-01 status_code=403 earliest=-7d@d latest=now,2025-10-01T18:57:07
give me login events by user anonymous on db-prod-02 this month in db,login,last30d,anonymous,database,*,db-prod-02,*,*,action=login user=anonymous source=database hostname=db-prod-02 earliest=-30d@d latest=now,2025-09-24T18:57:07
pull up delete events by user alice from ip 10.10.10.5 in the last 24 hours in windows,deletion,today,alice,windows,10.10.10.5,*,*,*,action=deletion user=alice source=windows src_ip=10.10.10.5 earliest=@d latest=now,2025-10-04T09:53:07
display restart events by user anonymous since yesterday in web server,restart,last24h,anonymous,web,*,*,*,*,action=restart user=anonymous source=web earliest=-24h latest=now,2025-10-04T08:57:07
display service restart events by user root from ip 172.16.0.50 on load-balancer with status 403 last 30 days in db,restart,last30d,root,database,172.16.0.50,load-balancer,*,403,action=restart user=root source=database src_ip=172.16.0.50 hostname=load-balancer status_code=403 earliest=-30d@d latest=now,2025-09-12T18:57:07
pull up auth success events by user anonymous from ip 10.0.0.1 on web-server-01 with status 200 last 7 days in database,success,last7d,anonymous,database,10.0.0.1,web-server-01,*,200,action=success user=anonymous source=database src_ip=10.0.0.1 hostname=web-server-01 status_code=200 earliest=-7d@d latest=now,2025-09-28T18:57:07
display login failure events by user admin from ip 192.168.0.1 last hour in file system,failure,last1h,admin,filesystem,192.168.0.1,*,*,*,action=failure user=admin source=filesystem src_ip=192.168.0.1 earliest=-60m latest=now,2025-10-04T18:00:07
show me emergency file deletion events by user alice from ip 192.168.0.1 last hour in db,deletion,last1h,alice,database,192.168.0.1,*,critical,*,action=deletion user=alice source=database src_ip=192.168.0.1 severity=critical earliest=-60m latest=now,2025-10-04T18:51:07
show me file upload events by user root the previous day in machine,upload,yesterday,root,host,*,*,*,*,action=upload user=root source=host earliest=@d-1d latest=@d,2025-10-03T07:38:07
give me download events by user anonymous on web-server-01 with status 500 this week in ssh,download,last7d,anonymous,ssh,*,web-server-01,*,500,action=download user=anonymous source=ssh hostname=web-server-01 status_code=500 earliest=-7d@d latest=now,2025-10-04T18:57:07
list upload events by user alice this month in server,upload,last30d,alice,host,*,*,*,*,action=upload user=alice source=host earliest=-30d@d latest=now,2025-10-02T18:57:07
find successful login events by user root with status 200 the previous day in db,success,yesterday,root,database,*,*,*,200,action=success user=root source=database status_code=200 earliest=@d-1d latest=@d,2025-10-03T18:35:07
display err request events by user alice the previous day in db,access,yesterday,alice,database,*,*,error,*,action=access user=alice source=database severity=error earliest=@d-1d latest=@d,2025-10-03T19:45:07
give me auth failure events by user admin this month in windows,failure,last30d,admin,windows,*,*,*,*,action=failure user=admin source=windows earliest=-30d@d latest=now,2025-09-16T18:57:07
pull up login failure events by user anonymous today in windows event log,failure,today,anonymous,windows,*,*,*,*,action=failure user=anonymous source=windows earliest=@d latest=now,2025-10-04T18:19:07
give me delete events by user anonymous on app-server-03 since midnight in network security,deletion,today,anonymous,firewall,*,app-server-03,*,*,action=deletion user=anonymous source=firewall hostname=app-server-03 earliest=@d latest=now,2025-10-04T16:31:07
list restart events by user anonymous with status 502 past week in web server,restart,last7d,anonymous,web,*,*,*,502,action=restart user=anonymous source=web status_code=502 earliest=-7d@d latest=now,2025-10-04T18:57:07
list auth success events by user alice since yesterday in event viewer,success,last24h,alice,windows,*,*,*,*,action=success user=alice source=windows earliest=-24h latest=now,2025-10-04T17:57:07
find error events by user jsmith on load-balancer past week in firewall logs,error,last7d,jsmith,firewall,*,load-balancer,*,*,action=error user=jsmith source=firewall hostname=load-balancer earliest=-7d@d latest=now,2025-09-29T18:57:07
display download events by user jsmith past 60 minutes in filesystem,download,last1h,jsmith,filesystem,*,*,*,*,action=download user=jsmith source=filesystem earliest=-60m latest=now,2025-10-04T18:23:07
pull up file upload events by user admin with status 404 past 60 minutes in apache,upload,last1h,admin,web,*,*,*,404,action=upload user=admin source=web status_code=404 earliest=-60m latest=now,2025-10-04T18:33:07
find login failure events by user admin on load-balancer yesterday in ssh,failure,yesterday,admin,ssh,*,load-balancer,*,*,action=failure user=admin source=ssh hostname=load-balancer earliest=@d-1d latest=@d,2025-10-03T17:04:07
find upload events by user jsmith from ip 10.10.10.5 with status 404 in the last 24 hours in server,upload,today,jsmith,host,10.10.10.5,*,*,404,action=upload user=jsmith source=host src_ip=10.10.10.5 status_code=404 earliest=@d latest=now,2025-10-04T05:16:07
display error events by user bob from ip 192.168.0.1 today in apache,error,today,bob,web,192.168.0.1,*,*,*,action=error user=bob source=web src_ip=192.168.0.1 earliest=@d latest=now,2025-10-04T07:51:07
give me successful login events by user root last 24 hours in file system,success,last24h,root,filesystem,*,*,*,*,action=success user=root source=filesystem earliest=-24h latest=now,2025-10-04T12:57:07
list crit access events past 60 minutes in windows event log,access,last1h,*,windows,*,*,critical,*,action=access source=windows severity=critical earliest=-60m latest=now,2025-10-04T18:21:07
give me delete events by user anonymous this month in auth log,deletion,last30d,anonymous,auth,*,*,*,*,action=deletion user=anonymous source=auth earliest=-30d@d latest=now,2025-09-20T18:57:07
display file upload events on firewall-01 the previous day in database,upload,yesterday,*,database,*,firewall-01,*,*,action=upload source=database hostname=firewall-01 earliest=@d-1d latest=@d,2025-10-03T07:30:07
give me critical failure events by user anonymous from ip 10.0.0.1 with status 403 since yesterday in filesystem,error,last24h,anonymous,filesystem,10.0.0.1,*,critical,403,action=error user=anonymous source=filesystem src_ip=10.0.0.1 severity=critical status_code=403 earliest=-24h latest=now,2025-10-04T07:57:07
list login events from ip 192.168.1.100 last 7 days in db,login,last7d,*,database,192.168.1.100,*,*,*,action=login source=database src_ip=192.168.1.100 earliest=-7d@d latest=now,2025-10-01T18:57:07
pull up auth success events by user root the previous day in ssh,success,yesterday,root,ssh,*,*,*,*,action=success user=root source=ssh earliest=@d-1d latest=@d,2025-10-03T20:22:07
give me upload events by user alice from ip 192.168.1.100 this week in file system,upload,last7d,alice,filesystem,192.168.1.100,*,*,*,action=upload user=alice source=filesystem src_ip=192.168.1.100 earliest=-7d@d latest=now,2025-10-04T18:57:07
give me login failure events by user alice on load-balancer this month in event viewer,failure,last30d,alice,windows,*,load-balancer,*,*,action=failure user=alice source=windows hostname=load-balancer earliest=-30d@d latest=now,2025-09-26T18:57:07
display file download events by user jsmith with status 503 past 60 minutes in firewall,download,last1h,jsmith,firewall,*,*,*,503,action=download user=jsmith source=firewall status_code=503 earliest=-60m latest=now,2025-10-04T18:30:07
find request events by user alice last hour in ssh,access,last1h,alice,ssh,*,*,*,*,action=access user=alice source=ssh earliest=-60m latest=now,2025-10-04T18:53:07
show me upload events by user root on web-server-01 last 24 hours in filesystem,upload,last24h,root,filesystem,*,web-server-01,*,*,action=upload user=root source=filesystem hostname=web-server-01 earliest=-24h latest=now,2025-10-04T14:57:07
display sign off events by user bob since yesterday in windows event log,logout,last24h,bob,windows,*,*,*,*,action=logout user=bob source=windows earliest=-24h latest=now,2025-10-03T21:57:07
find successful login events this week in firewall logs,success,last7d,*,firewall,*,*,*,*,action=success source=firewall earliest=-7d@d latest=now,2025-10-04T18:57:07
display restart events by user alice this week in host,restart,last7d,alice,host,*,*,*,*,action=restart user=alice source=host earliest=-7d@d latest=now,2025-10-01T18:57:07
show me failure events by user admin with status 500 past 60 minutes in db,error,last1h,admin,database,*,*,*,500,action=error user=admin source=database status_code=500 earliest=-60m latest=now,2025-10-04T18:42:07
pull up successful login events by user admin from ip 10.0.0.1 last 24 hours in file system,success,last24h,admin,filesystem,10.0.0.1,*,*,*,action=success user=admin source=filesystem src_ip=10.0.0.1 earliest=-24h latest=now,2025-10-04T11:57:07
pull up auth success events last hour in file system,success,last1h,*,filesystem,*,*,*,*,action=success source=filesystem earliest=-60m latest=now,2025-10-04T18:40:07
find error events today in auth log,error,today,*,auth,*,*,*,*,action=error source=auth earliest=@d latest=now,2025-10-04T12:52:07
display request events by user alice on load-balancer past week in firewall,access,last7d,alice,firewall,*,load-balancer,*,*,action=access user=alice source=firewall hostname=load-balancer earliest=-7d@d latest=now,2025-09-30T18:57:07
display error auth failure events from ip 10.0.0.1 on load-balancer this week in secure shell,failure,last7d,*,ssh,10.0.0.1,load-balancer,error,*,action=failure source=ssh src_ip=10.0.0.1 hostname=load-balancer severity=error earliest=-7d@d latest=now,2025-10-02T18:57:07
show me upload events in the last 24 hours in machine,upload,today,*,host,*,*,*,*,action=upload source=host earliest=@d latest=now,2025-10-04T07:22:07
give me failure events by user anonymous last 30 days in authentication log,error,last30d,anonymous,auth,*,*,*,*,action=error user=anonymous source=auth earliest=-30d@d latest=now,2025-09-16T18:57:07
find service restart events on web-server-01 last 7 days in security log,restart,last7d,*,auth,*,web-server-01,*,*,action=restart source=auth hostname=web-server-01 earliest=-7d@d latest=now,2025-10-04T18:57:07
give me service restart events by user root on app-server-03 with status 502 this month in filesystem,restart,last30d,root,filesystem,*,app-server-03,*,502,action=restart user=root source=filesystem hostname=app-server-03 status_code=502 earliest=-30d@d latest=now,2025-09-06T18:57:07
find logout events by user jsmith on app-server-03 the previous day in firewall,logout,yesterday,jsmith,firewall,*,app-server-03,*,*,action=logout user=jsmith source=firewall hostname=app-server-03 earliest=@d-1d latest=@d,2025-10-03T04:59:07
list successful login events by user admin last 30 days in ssh,success,last30d,admin,ssh,*,*,*,*,action=success user=admin source=ssh earliest=-30d@d latest=now,2025-10-03T18:57:07
give me delete events by user root last 30 days in windows event log,deletion,last30d,root,windows,*,*,*,*,action=deletion user=root source=windows earliest=-30d@d latest=now,2025-09-26T18:57:07
find crash events by user admin past 60 minutes in apache,error,last1h,admin,web,*,*,*,*,action=error user=admin source=web earliest=-60m latest=now,2025-10-04T18:19:07
pull up delete events on web-server-01 the previous day in event viewer,deletion,yesterday,*,windows,*,web-server-01,*,*,action=deletion source=windows hostname=web-server-01 earliest=@d-1d latest=@d,2025-10-03T19:44:07
find request events by user admin this week in filesystem,access,last7d,admin,filesystem,*,*,*,*,action=access user=admin source=filesystem earliest=-7d@d latest=now,2025-09-28T18:57:07
list auth success events by user jsmith from ip 10.0.0.1 last hour in file system,success,last1h,jsmith,filesystem,10.0.0.1,*,*,*,action=success user=jsmith source=filesystem src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T18:18:07
pull up login failure events by user alice with status 403 last 24 hours in db,failure,last24h,alice,database,*,*,*,403,action=failure user=alice source=database status_code=403 earliest=-24h latest=now,2025-10-04T04:57:07
list file deletion events by user alice this week in event viewer,deletion,last7d,alice,windows,*,*,*,*,action=deletion user=alice source=windows earliest=-7d@d latest=now,2025-10-01T18:57:07
display file download events by user jsmith past 60 minutes in nginx,download,last1h,jsmith,web,*,*,*,*,action=download user=jsmith source=web earliest=-60m latest=now,2025-10-04T18:02:07
list request events from ip 172.16.0.50 on load-balancer since midnight in secure shell,access,today,*,ssh,172.16.0.50,load-balancer,*,*,action=access source=ssh src_ip=172.16.0.50 hostname=load-balancer earliest=@d latest=now,2025-10-04T13:56:07
find sign off events by user bob with status 500 since yesterday in host,logout,last24h,bob,host,*,*,*,500,action=logout user=bob source=host status_code=500 earliest=-24h latest=now,2025-10-03T23:57:07
pull up upload events by user jsmith on app-server-03 last 7 days in web server,upload,last7d,jsmith,web,*,app-server-03,*,*,action=upload user=jsmith source=web hostname=app-server-03 earliest=-7d@d latest=now,2025-10-01T18:57:07
give me service restart events by user bob past week in db,restart,last7d,bob,database,*,*,*,*,action=restart user=bob source=database earliest=-7d@d latest=now,2025-10-03T18:57:07
pull up login events with status 404 the previous day in windows event log,login,yesterday,*,windows,*,*,*,404,action=login source=windows status_code=404 earliest=@d-1d latest=@d,2025-10-03T11:45:07
find login events by user root this month in windows event log,login,last30d,root,windows,*,*,*,*,action=login user=root source=windows earliest=-30d@d latest=now,2025-09-22T18:57:07
list successful login events by user alice with status 200 past week in network security,success,last7d,alice,firewall,*,*,*,200,action=success user=alice source=firewall status_code=200 earliest=-7d@d latest=now,2025-10-01T18:57:07
give me error events by user bob last 24 hours in authentication log,error,last24h,bob,auth,*,*,*,*,action=error user=bob source=auth earliest=-24h latest=now,2025-10-04T04:57:07
pull up file deletion events by user root from ip 10.0.0.1 since yesterday in nginx,deletion,last24h,root,web,10.0.0.1,*,*,*,action=deletion user=root source=web src_ip=10.0.0.1 earliest=-24h latest=now,2025-10-03T23:57:07
pull up file deletion events by user anonymous yesterday in web server,deletion,yesterday,anonymous,web,*,*,*,*,action=deletion user=anonymous source=web earliest=@d-1d latest=@d,2025-10-03T09:10:07
display auth failure events by user admin since yesterday in authentication log,failure,last24h,admin,auth,*,*,*,*,action=failure user=admin source=auth earliest=-24h latest=now,2025-10-04T12:57:07
show me file download events by user anonymous with status 403 past week in web server,download,last7d,anonymous,web,*,*,*,403,action=download user=anonymous source=web status_code=403 earliest=-7d@d latest=now,2025-10-03T18:57:07
give me err sign off events by user root on app-server-03 last 7 days in auth log,logout,last7d,root,auth,*,app-server-03,error,*,action=logout user=root source=auth hostname=app-server-03 severity=error earliest=-7d@d latest=now,2025-10-01T18:57:07
list warning request events on load-balancer last 24 hours in firewall,access,last24h,*,firewall,*,load-balancer,warning,*,action=access source=firewall hostname=load-balancer severity=warning earliest=-24h latest=now,2025-10-04T10:57:07
pull up access events by user alice past 60 minutes in secure shell,access,last1h,alice,ssh,*,*,*,*,action=access user=alice source=ssh earliest=-60m latest=now,2025-10-04T17:58:07
pull up warning download events by user root from ip 10.0.0.1 on firewall-01 this week in authentication log,download,last7d,root,auth,10.0.0.1,firewall-01,warning,*,action=download user=root source=auth src_ip=10.0.0.1 hostname=firewall-01 severity=warning earliest=-7d@d latest=now,2025-09-29T18:57:07
show me failure events by user bob from ip 172.16.0.50 with status 500 yesterday in database,error,yesterday,bob,database,172.16.0.50,*,*,500,action=error user=bob source=database src_ip=172.16.0.50 status_code=500 earliest=@d-1d latest=@d,2025-10-03T05:28:07
show me file upload events by user admin last 30 days in nginx,upload,last30d,admin,web,*,*,*,*,action=upload user=admin source=web earliest=-30d@d latest=now,2025-09-20T18:57:07
show me download events by user alice past 60 minutes in windows,download,last1h,alice,windows,*,*,*,*,action=download user=alice source=windows earliest=-60m latest=now,2025-10-04T18:27:07
find crash events by user jsmith from ip 192.168.1.100 last 24 hours in ssh,error,last24h,jsmith,ssh,192.168.1.100,*,*,*,action=error user=jsmith source=ssh src_ip=192.168.1.100 earliest=-24h latest=now,2025-10-03T20:57:07
pull up delete events by user root past 60 minutes in file system,deletion,last1h,root,filesystem,*,*,*,*,action=deletion user=root source=filesystem earliest=-60m latest=now,2025-10-04T18:15:07
give me access events by user anonymous since midnight in authentication log,access,today,anonymous,auth,*,*,*,*,action=access user=anonymous source=auth earliest=@d latest=now,2025-10-04T04:45:07
show me file upload events by user jsmith from ip 172.16.0.50 past 60 minutes in apache,upload,last1h,jsmith,web,172.16.0.50,*,*,*,action=upload user=jsmith source=web src_ip=172.16.0.50 earliest=-60m latest=now,2025-10-04T17:59:07
find failure events by user bob last 24 hours in database,error,last24h,bob,database,*,*,*,*,action=error user=bob source=database earliest=-24h latest=now,2025-10-04T03:57:07
find auth success events by user root from ip 10.10.10.5 with status 200 since yesterday in db,success,last24h,root,database,10.10.10.5,*,*,200,action=success user=root source=database src_ip=10.10.10.5 status_code=200 earliest=-24h latest=now,2025-10-04T10:57:07
display upload events by user alice on db-prod-02 this month in authentication log,upload,last30d,alice,auth,*,db-prod-02,*,*,action=upload user=alice source=auth hostname=db-prod-02 earliest=-30d@d latest=now,2025-09-08T18:57:07
give me warn access events by user jsmith from ip 10.10.10.5 on load-balancer past week in apache,access,last7d,jsmith,web,10.10.10.5,load-balancer,warning,*,action=access user=jsmith source=web src_ip=10.10.10.5 hostname=load-balancer severity=warning earliest=-7d@d latest=now,2025-10-02T18:57:07
find connection events by user root past week in firewall,access,last7d,root,firewall,*,*,*,*,action=access user=root source=firewall earliest=-7d@d latest=now,2025-09-30T18:57:07
list file download events by user root on app-server-03 yesterday in db,download,yesterday,root,database,*,app-server-03,*,*,action=download user=root source=database hostname=app-server-03 earliest=@d-1d latest=@d,2025-10-03T20:38:07
pull up authentication events by user bob from ip 172.16.0.50 last 24 hours in database,login,last24h,bob,database,172.16.0.50,*,*,*,action=login user=bob source=database src_ip=172.16.0.50 earliest=-24h latest=now,2025-10-04T12:57:07
display failed login events by user root with status 404 yesterday in database,failure,yesterday,root,database,*,*,*,404,action=failure user=root source=database status_code=404 earliest=@d-1d latest=@d,2025-10-03T18:10:07
pull up connection events by user bob last hour in ssh,access,last1h,bob,ssh,*,*,*,*,action=access user=bob source=ssh earliest=-60m latest=now,2025-10-04T18:12:07
pull up authentication events by user jsmith with status 200 since midnight in event viewer,login,today,jsmith,windows,*,*,*,200,action=login user=jsmith source=windows status_code=200 earliest=@d latest=now,2025-10-04T05:26:07
give me file upload events by user anonymous from ip 192.168.1.100 last 24 hours in event viewer,upload,last24h,anonymous,windows,192.168.1.100,*,*,*,action=upload user=anonymous source=windows src_ip=192.168.1.100 earliest=-24h latest=now,2025-10-04T12:57:07
pull up login events this month in file system,login,last30d,*,filesystem,*,*,*,*,action=login source=filesystem earliest=-30d@d latest=now,2025-09-11T18:57:07
give me file upload events by user alice since midnight in web server,upload,today,alice,web,*,*,*,*,action=upload user=alice source=web earliest=@d latest=now,2025-10-04T07:22:07
give me download events by user jsmith from ip 10.0.0.1 on db-prod-02 with status 500 past 60 minutes in event viewer,download,last1h,jsmith,windows,10.0.0.1,db-prod-02,*,500,action=download user=jsmith source=windows src_ip=10.0.0.1 hostname=db-prod-02 status_code=500 earliest=-60m latest=now,2025-10-04T18:25:07
display logout events by user alice last 24 hours in windows,logout,last24h,alice,windows,*,*,*,*,action=logout user=alice source=windows earliest=-24h latest=now,2025-10-04T06:57:07
find error events last 24 hours in web server,error,last24h,*,web,*,*,*,*,action=error source=web earliest=-24h latest=now,2025-10-04T13:57:07
give me error events by user root from ip 10.10.10.5 yesterday in network security,error,yesterday,root,firewall,10.10.10.5,*,*,*,action=error user=root source=firewall src_ip=10.10.10.5 earliest=@d-1d latest=@d,2025-10-03T07:33:07
list error events the previous day in db,error,yesterday,*,database,*,*,*,*,action=error source=database earliest=@d-1d latest=@d,2025-10-03T19:25:07
pull up info download events by user alice last 24 hours in filesystem,download,last24h,alice,filesystem,*,*,info,*,action=download user=alice source=filesystem severity=info earliest=-24h latest=now,2025-10-03T23:57:07
pull up login failure events by user alice on firewall-01 with status 403 today in event viewer,failure,today,alice,windows,*,firewall-01,*,403,action=failure user=alice source=windows hostname=firewall-01 status_code=403 earliest=@d latest=now,2025-10-04T06:22:07
display failure events by user jsmith last 30 days in filesystem,error,last30d,jsmith,filesystem,*,*,*,*,action=error user=jsmith source=filesystem earliest=-30d@d latest=now,2025-09-19T18:57:07
give me upload events last hour in database,upload,last1h,*,database,*,*,*,*,action=upload source=database earliest=-60m latest=now,2025-10-04T18:04:07
give me upload events by user alice on load-balancer with status 500 past 60 minutes in apache,upload,last1h,alice,web,*,load-balancer,*,500,action=upload user=alice source=web hostname=load-balancer status_code=500 earliest=-60m latest=now,2025-10-04T18:02:07
show me warn delete events by user jsmith last 30 days in host,deletion,last30d,jsmith,host,*,*,warning,*,action=deletion user=jsmith source=host severity=warning earliest=-30d@d latest=now,2025-09-18T18:57:07
find informational login events by user admin with status 500 last 7 days in server,login,last7d,admin,host,*,*,info,500,action=login user=admin source=host severity=info status_code=500 earliest=-7d@d latest=now,2025-10-02T18:57:07
pull up access events by user jsmith with status 404 past 60 minutes in authentication log,access,last1h,jsmith,auth,*,*,*,404,action=access user=jsmith source=auth status_code=404 earliest=-60m latest=now,2025-10-04T18:27:07
display crash events by user jsmith from ip 10.0.0.1 last hour in database,error,last1h,jsmith,database,10.0.0.1,*,*,*,action=error user=jsmith source=database src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T18:27:07
pull up logout events by user root in the last 24 hours in firewall,logout,today,root,firewall,*,*,*,*,action=logout user=root source=firewall earliest=@d latest=now,2025-10-04T18:50:07
list emergency service restart events by user admin from ip 172.16.0.50 in the last 24 hours in machine,restart,today,admin,host,172.16.0.50,*,critical,*,action=restart user=admin source=host src_ip=172.16.0.50 severity=critical earliest=@d latest=now,2025-10-04T05:52:07
find upload events by user jsmith past week in auth log,upload,last7d,jsmith,auth,*,*,*,*,action=upload user=jsmith source=auth earliest=-7d@d latest=now,2025-09-29T18:57:07
